mSec,N-M,Degrees,Degrees,Deg/Sec
2520,30.8,195,60,0
2530,30.8,195,60,0
2540,30.8,195,60,0
2550,30.8,195,60,0
2560,30.8,195,60,0
2570,30.8,195,60,0
2580,30.8,195,60,0
2590,30.8,195,60,0
2600,30.8,195,60,0
2610,30.8,195,60,0
2620,30.8,195,60,0
2630,30.6,195,60,0
2640,30.6,195,60,0
2650,30.6,195,60,0
2660,30.4,195,60,0
2670,30.4,195,60,0
2680,30.2,195,60,0
2690,30.1,195,60,0
2700,30,195,60,0
2710,29.7,195,60,0
2720,29.6,195,60,0
2730,29.3,195,60,0
2740,29.2,195,60,0
2750,29,195,60,0
2760,28.7,195,60,0
2770,28.6,195,60,0
2780,28.6,195,60,0
2790,28.5,195,60,0
2800,28.5,195,60,0
2810,28.5,195,60,0
2820,28.6,195,60,0
2830,28.5,195,60,0
2840,28.6,195,60,0
2850,28.7,195,60,0
2860,28.7,195,60,0
2870,28.9,195,60,0
2880,28.9,195,60,0
2890,28.9,195,60,0
2900,28.9,195,60,0
2910,29,195,60,0
2920,29,195,60,0
2930,29.2,195,60,0
2940,29.3,195,60,0
2950,29.6,195,60,0
2960,29.6,195,60,0
2970,29.6,195,60,0
2980,29.7,195,60,0
2990,29.7,195,60,0
3000,29.8,195,60,0
3010,29.7,195,60,0
3020,29.8,195,60,0
3030,30,195,60,0
3040,30.2,195,60,0
3050,30.4,195,60,0
3060,30.5,195,60,0
3070,30.8,195,60,0
3080,30.9,195,60,0
3090,31.1,195,60,0
3100,31.2,195,60,0
3110,31.5,195,60,0
3120,31.6,195,60,0
3130,31.6,195,60,0
3140,31.7,195,60,0
3150,31.9,195,60,0
3160,32.1,195,60,0
3170,32.4,195,60,0
3180,32.5,195,60,0
3190,32.8,195,60,0
3200,33,195,60,0
3210,33.1,195,60,0
3220,33.2,195,60,0
3230,33.4,195,60,0
3240,33.5,195,60,0
3250,33.8,195,60,0
3260,33.8,195,60,0
3270,34,195,60,0
3280,34.2,195,60,0
3290,34.2,195,60,0
3300,34.2,195,60,0
3310,34.2,195,60,0
3320,34.2,195,60,0
3330,34.2,195,60,0
3340,34.3,195,60,0
3350,34.3,195,60,0
3360,34.4,195,60,0
3370,34.6,195,60,0
3380,34.7,195,60,0
3390,35,195,60,0
3400,35.1,195,60,0
3410,35.1,195,60,0
3420,35.1,195,60,0
3430,35.1,195,60,0
3440,35,195,60,0
3450,35.1,195,60,0
3460,35,195,60,0
3470,34.8,195,60,0
3480,34.8,195,60,0
3490,34.8,195,60,0
3500,34.8,195,60,0
3510,34.8,195,60,0
3520,34.8,195,60,0
3530,35,195,60,0
3540,35,195,60,0
3550,34.8,195,60,0
3560,34.8,195,60,0
3570,34.8,195,60,0
3580,34.7,195,60,0
3590,34.6,195,60,0
3600,34.4,195,60,0
3610,34.4,195,60,0
3620,34.4,195,60,0
3630,34.4,195,60,0
3640,34.4,195,60,0
3650,34.4,195,60,0
3660,34.6,195,60,0
3670,34.6,195,60,0
3680,34.4,195,60,0
3690,34.4,195,60,0
3700,34.4,195,60,0
3710,34.4,195,60,0
3720,34.3,195,60,0
3730,34.2,195,60,0
3740,34.2,195,60,0
3750,34.2,195,60,0
3760,34.2,195,60,0
3770,34.2,195,60,0
3780,34.2,195,60,0
3790,34.2,195,60,0
3800,34.2,195,60,0
3810,34.3,195,60,0
3820,34.3,195,60,0
3830,34.3,195,60,0
3840,34.3,195,60,0
3850,34.2,195,60,0
3860,34,195,60,0
3870,34,195,60,0
3880,34,195,60,0
3890,34.2,195,60,0
3900,34.2,195,60,0
3910,34.2,195,60,0
3920,34.2,195,60,0
3930,34,195,60,0
3940,34.2,195,60,0
3950,34.2,195,60,0
3960,34.2,195,60,0
3970,34.2,195,60,0
3980,34.2,195,60,0
3990,34.2,195,60,0
4000,34.2,195,60,0
4010,34.3,195,60,0
4020,34.3,195,60,0
4030,34.3,195,60,0
4040,34.4,195,60,0
4050,34.4,195,60,0
4060,34.6,195,60,0
4070,34.4,195,60,0
4080,34.3,195,60,0
4090,34.3,195,60,0
4100,34.2,195,60,0
4110,34.3,195,60,0
4120,34.3,195,60,0
4130,34.4,195,60,0
4140,34.3,195,60,0
4150,34.3,195,60,0
4160,34.2,195,60,0
4170,34.2,195,60,0
4180,33.9,195,60,0
4190,33.8,195,60,0
4200,33.6,195,60,0
4210,33.5,195,60,0
4220,33.4,195,60,0
4230,33.5,195,60,0
4240,33.5,195,60,0
4250,33.5,195,60,0
4260,33.4,195,60,0
4270,33.4,195,60,0
4280,33.2,195,60,0
4290,33.1,195,60,0
4300,33,195,60,0
4310,32.8,195,60,0
4320,32.7,195,60,0
4330,32.7,195,60,0
4340,32.7,195,60,0
4350,32.8,195,60,0
4360,32.8,195,60,0
4370,32.7,195,60,0
4380,32.7,195,60,0
4390,32.8,195,60,0
4400,32.8,195,60,0
4410,32.7,195,60,0
4420,32.7,195,60,0
4430,32.7,195,60,0
4440,32.5,195,60,0
4450,32.5,195,60,0
4460,32.5,195,60,0
4470,32.7,195,60,0
4480,32.7,195,60,0
4490,32.7,195,60,0
4500,32.7,195,60,0
4510,32.7,195,60,0
4520,32.7,195,60,0
4530,32.5,195,60,0
4540,32.5,195,60,0
4550,32.5,195,60,0
4560,32.5,195,60,0
4570,32.5,195,60,0
4580,32.5,195,60,0
4590,32.5,195,60,0
4600,32.4,195,60,0
4610,32.4,195,60,0
4620,32.4,195,60,0
4630,32.3,195,60,0
4640,32.1,195,60,0
4650,32.1,195,60,0
4660,32.1,195,60,0
4670,32.1,195,60,0
4680,32.3,195,60,0
4690,32.3,195,60,0
4700,32.3,195,60,0
4710,32.4,195,60,0
